PLAYER_NAME,WFG,WFG x PTS
Xavier Tillman,0.7058823529411764,0.6352941176470588
Paul George,0.38888888888888884,0.6222222222222222
Lonzo Ball,0.41176470588235287,0.6176470588235293
Nickeil Alexander-Walker,0.31645569620253156,0.6012658227848099
Rui Hachimura,0.5,0.6
Eric Bledsoe,0.5,0.6
Enes Kanter,0.5909090909090909,0.5909090909090909
Larry Nance Jr.,0.5909090909090908,0.5909090909090908
Saddiq Bey,0.4186046511627908,0.586046511627907
Gary Trent Jr.,0.41860465116279066,0.5860465116279069
Jordan Clarkson,0.41860465116279066,0.5860465116279069
Immanuel Quickley,0.4146341463414634,0.5804878048780487
Dorian Finney-Smith,0.5769230769230769,0.5769230769230769
Davis Bertans,0.41025641025641024,0.5743589743589743
Thaddeus Young,0.5185185185185185,0.5703703703703704
Kristaps Porzingis,0.5161290322580645,0.567741935483871
Derrick White,0.4722222222222222,0.5666666666666667
Montrezl Harrell,0.47222222222222215,0.5666666666666665
Al Horford,0.35384615384615375,0.566153846153846
Marcus Smart,0.39534883720930225,0.5534883720930232
Tyler Herro,0.3442622950819672,0.5508196721311476
Robert Williams III,0.6875,0.55
Mitchell Robinson,0.6842105263157895,0.5473684210526316
Andre Drummond,0.45454545454545453,0.5454545454545454
Daniel Theis,0.5384615384615384,0.5384615384615384
Anthony Edwards,0.4042553191489361,0.525531914893617
Edmond Sumner,0.6470588235294118,0.5176470588235295
Fred VanVleet,0.33870967741935476,0.5080645161290321
Jakob Poeltl,0.631578947368421,0.5052631578947369
DeAndre Jordan,1.0,0.5
Ivica Zubac,1.0,0.5
Isaac Okoro,0.5454545454545454,0.4909090909090909
Terance Mann,0.5416666666666666,0.4875
Kelly Olynyk,0.4827586206896552,0.4827586206896552
Patrick Beverley,0.6000000000000001,0.4800000000000001
Taj Gibson,0.8,0.48
P.J. Tucker,0.4782608695652174,0.4782608695652174
Jeff Green,0.52,0.468
LaMelo Ball,0.4666666666666667,0.4666666666666667
Juancho Hernangomez,0.6666666666666667,0.4666666666666667
Josh Jackson,0.3888888888888889,0.4666666666666667
Patty Mills,0.4166666666666667,0.45833333333333337
Norman Powell,0.411764705882353,0.4529411764705883
Rudy Gay,0.34782608695652173,0.45217391304347826
Draymond Green,0.5,0.45
Willie Cauley-Stein,0.7499999999999999,0.4499999999999999
Kyle Kuzma,0.33962264150943394,0.44150943396226416
Kent Bazemore,0.39999999999999997,0.44
Jarrett Allen,0.625,0.4375
Keldon Johnson,0.3939393939393939,0.43333333333333335
Lonnie Walker IV,0.5416666666666666,0.43333333333333335
Reggie Bullock,0.4800000000000001,0.4320000000000001
Brandon Clarke,0.48,0.432
Andrew Wiggins,0.3902439024390244,0.4292682926829269
Steven Adams,0.5294117647058824,0.42352941176470593
Daniel Gafford,0.4137931034482758,0.4137931034482758
Derrick Favors,1.0,0.4
Jusuf Nurkic,0.3636363636363636,0.39999999999999997
Kyle Anderson,0.44000000000000006,0.3960000000000001
De'Andre Hunter,0.3269230769230769,0.3923076923076923
Nerlens Noel,0.6428571428571428,0.3857142857142857
Bruce Brown,0.6363636363636365,0.3818181818181819
Maxi Kleber,0.4761904761904763,0.38095238095238104
Royce O'Neale,0.5294117647058825,0.3705882352941177
Bojan Bogdanovic,0.30000000000000004,0.36000000000000004
Joe Harris,0.3928571428571429,0.35357142857142865
Jarred Vanderbilt,0.875,0.35000000000000003
Nicolas Batum,0.5,0.35
Jae Crowder,0.34883720930232553,0.34883720930232553
Cameron Johnson,0.42857142857142866,0.34285714285714297
Jae'Sean Tate,0.4285714285714286,0.3428571428571429
James Ennis III,0.4285714285714286,0.3428571428571429
Garrett Temple,0.4230769230769231,0.3384615384615385
Derrick Jones Jr.,0.4782608695652174,0.3347826086956522
Kentavious Caldwell-Pope,0.4166666666666667,0.33333333333333337
Kevin Huerter,0.4761904761904763,0.33333333333333337
Tristan Thompson,0.8333333333333334,0.33333333333333337
Gary Harris,0.41379310344827586,0.3310344827586207
Blake Griffin,0.32499999999999996,0.32499999999999996
Tim Hardaway Jr.,0.3235294117647059,0.3235294117647059
Malik Beasley,0.29310344827586204,0.32241379310344825
Lauri Markkanen,0.35294117647058826,0.31764705882352945
Duncan Robinson,0.35294117647058826,0.31764705882352945
Aaron Gordon,0.5238095238095238,0.3142857142857143
Ricky Rubio,0.4444444444444445,0.3111111111111111
Justin Holiday,0.3870967741935484,0.3096774193548387
Grayson Allen,0.34375000000000006,0.30937500000000007
Desmond Bane,0.38461538461538464,0.3076923076923077
Miles Bridges,0.38461538461538464,0.3076923076923077
Markieff Morris,0.37499999999999994,0.3
Danny Green,0.3333333333333333,0.3
Kevon Looney,1.0,0.3
Kemba Walker,0.2692307692307692,0.29615384615384616
Carmelo Anthony,0.2926829268292683,0.2926829268292683
Seth Curry,0.35714285714285715,0.28571428571428575
Shake Milton,0.34375000000000006,0.2750000000000001
DeAndre' Bembry,0.5384615384615384,0.2692307692307692
Josh Hart,0.4375,0.2625
Delon Wright,0.43478260869565216,0.2608695652173913
Donte DiVincenzo,0.4285714285714286,0.2571428571428572
Stanley Johnson,0.3636363636363637,0.2545454545454546
Svi Mykhailiuk,0.3600000000000001,0.25200000000000006
Chuma Okeke,0.5000000000000001,0.25000000000000006
Derrick Rose,0.24528301886792447,0.24528301886792447
Raul Neto,0.35,0.24499999999999997
Goran Dragic,0.3,0.24
Joe Ingles,0.47058823529411775,0.23529411764705888
Naji Marshall,0.2941176470588236,0.23529411764705888
Damion Lee,0.33333333333333337,0.23333333333333334
Elfrid Payton,0.3333333333333333,0.2333333333333333
OG Anunoby,0.38888888888888884,0.23333333333333328
Kenrich Williams,0.46153846153846156,0.23076923076923078
Brook Lopez,0.368421052631579,0.2210526315789474
Isaiah Roby,0.4375,0.21875
Kendrick Nunn,0.30769230769230776,0.21538461538461542
Bismack Biyombo,0.7142857142857143,0.21428571428571427
Timothe Luwawu-Cabarrot,0.42105263157894746,0.21052631578947373
Maurice Harkless,1.0,0.2
Patrick Williams,0.4999999999999999,0.19999999999999996
Luke Kennard,0.46666666666666673,0.1866666666666667
Doug McDermott,0.46666666666666673,0.1866666666666667
Rodney Hood,0.46666666666666673,0.1866666666666667
P.J. Washington,0.31034482758620696,0.18620689655172418
